run type	bottle	station	cast	niskin	depth	i.s. temp.	salinity	density	sample mass	temperature	rep#	area	CT	factor CT	unit	CV (µmol)	CV (%)	last CRM CT	cert. CRM CT	CRM batch	calc. mode	integ. mode	comment	Lat.	Long.	date	time	area#1	area#2	area#3	area#4
bottle	PD11_T0_A	1	1	1	1	4	0	0.99799	1746.4825	21.01	4	33783	2314.0	0.119626465	µmol/l	2.641879	0.114044	2000	2038.99	172	reject worst	internal		1	1	2/27/23	10:38	33916	33790	33817	33741
bottle	PD11_T0_B	1	1	1	1	4	0	0.99798	1746.465	21.07	4	33795	2314.8	0.119626465	µmol/l	0.910584	0.039293	2000	2038.99	172	reject worst	internal		1	1	2/27/23	10:55	33842	33810	33787	33787
bottle	PD11_T0_C	1	1	1	1	4	0	0.99797	1746.4475	21.1	4	33800	2315.2	0.119626465	µmol/l	1.426906	0.061564	2000	2038.99	172	reject worst	internal		1	1	2/27/23	11:09	33700	33776	33813	33811
bottle	PD11_L_T1_A	1	1	1	1	4	0	0.99796	1746.43	21.14	4	34211	2343.4	0.119626465	µmol/l	0.418986	0.01786	2000	2038.99	172	reject worst	internal		1	1	2/27/23	11:22	34045	34206	34210	34218
bottle	PD11_L_T1_B	1	1	1	1	4	0	0.99796	1746.43	21.16	4	34264	2347.0	0.119626465	µmol/l	0.345143	0.014689	2000	2038.99	172	reject worst	internal		1	1	2/27/23	11:36	33388	34259	34265	34269
bottle	PD11_L_T1_C	1	1	1	1	4	0	0.99795	1746.4125	21.21	4	34191	2342.0	0.119626465	µmol/l	0.240828	0.010271	2000	2038.99	172	reject worst	internal		1	1	2/27/23	11:49	34057	34191	34194	34187
bottle	PD11_D_T1_A	1	1	1	1	4	0	0.99794	1746.395	21.26	4	33788	2314.4	0.119626465	µmol/l	0.6869	0.029646	2000	2038.99	172	reject worst	internal		1	1	2/27/23	12:02	33624	33784	33799	33780
bottle	PD11_D_T1_B	1	1	1	1	4	0	0.99793	1746.3775	21.3	4	33803	2315.5	0.119626465	µmol/l	0.658939	0.028426	2000	2038.99	172	reject worst	internal		1	1	2/27/23	12:16	33642	33805	33793	33812
bottle	PD11_D_T1_C	1	1	1	1	4	0	0.99792	1746.36	21.32	4	33843	2318.3	0.119626465	µmol/l	1.581715	0.068153	2000	2038.99	172	reject worst	internal		1	1	2/27/23	12:29	34157	33825	33835	33869
bottle	CRM206.3	1	1	1	1	4	33.423	1.02321	1790.6175	21.31	4	30350	2027.6	0.119626465	µmol/kg	12.144369	0.598289	2000	2038.99	172	reject worst	internal		1	1	2/27/23	12:44	32033	30560	30247	30244
bottle	CRM206.4	1	1	1	1	4	33.423	1.02322	1790.635	21.26	4	30956	2068.1	0.119626465	µmol/kg	20.547028	0.992442	2000	2038.99	172	reject worst	internal		1	1	2/27/23	12:56	32557	31275	30932	30662
bottle	CRM206.5	1	1	1	1	4	33.423	1.02323	1790.6525	21.23	4	30217	2018.7	0.119626465	µmol/kg	1.873015	0.092682	2000	2038.99	172	reject worst	internal		1	1	2/27/23	13:13	30144	30185	30234	30233
